image_path,true_label,ai_score,predicted_label_at_best_threshold,distance_to_threshold,explanation_if_available
data\test_images\real\phone_photo_007.jpg,real,0.1496,real,0.0004,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | JPEG quality estimate is low enough to show clear recompression history. | risk_score=41.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\ai\ai_010.png,ai,0.1470,real,0.0030,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | Compression fallback found very weak 8x8 block artifacts. | risk_score=43.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\ai\ai_001.png,ai,0.1548,ai,0.0048,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | Compression fallback found very weak 8x8 block artifacts. | risk_score=43.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\ai\ai_005.png,ai,0.1443,real,0.0057,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | Compression fallback found very weak 8x8 block artifacts. | risk_score=48.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\screenshot_real_001.jpg,real,0.1415,real,0.0085,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | JPEG quality estimate is low enough to show clear recompression history. | risk_score=45.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_008.jpg,real,0.1385,real,0.0115,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | JPEG quality estimate is low enough to show clear recompression history. | risk_score=36.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_003.jpg,real,0.1366,real,0.0134,"No EXIF metadata was found, which is common for generated or heavily processed images. | Edge density is low, which can indicate over-smoothed generated imagery. | JPEG quality estimate is low enough to show clear recompression history. | risk_score=66.0; day5_prediction=likely_ai; day5_confidence=medium"
data\test_images\ai\ai_004.png,ai,0.1647,ai,0.0147,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | Compression fallback found very weak 8x8 block artifacts. | risk_score=48.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_006.jpg,real,0.1671,ai,0.0171,"No EXIF metadata was found, which is common for generated or heavily processed images. | Color entropy is high, suggesting a broad natural-looking color distribution. | JPEG quality estimate is low enough to show clear recompression history. | risk_score=52.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\ai\ai_003.png,ai,0.1759,ai,0.0259,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | Compression fallback found very weak 8x8 block artifacts. | risk_score=43.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\ai\ai_006.png,ai,0.1786,ai,0.0286,"No EXIF metadata was found, which is common for generated or heavily processed images. | Color entropy is high, suggesting a broad natural-looking color distribution. | Compression fallback found very weak 8x8 block artifacts. | risk_score=59.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\ai\ai_008.png,ai,0.1805,ai,0.0305,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | Compression fallback found very weak 8x8 block artifacts. | risk_score=48.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\ai\ai_007.png,ai,0.1871,ai,0.0371,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | Compression fallback found very weak 8x8 block artifacts. | risk_score=47.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\ai\ai_009.png,ai,0.1945,ai,0.0445,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | Compression fallback found very weak 8x8 block artifacts. | risk_score=43.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_002.jpg,real,0.1961,ai,0.0461,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | JPEG quality estimate is low enough to show clear recompression history. | risk_score=36.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\web_real_001.jpg,real,0.2024,ai,0.0524,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | JPEG quality estimate is low enough to show clear recompression history. | risk_score=36.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\ai\ai_002.png,ai,0.2086,ai,0.0586,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | Compression fallback found very weak 8x8 block artifacts. | risk_score=43.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_001.jpg,real,0.2087,ai,0.0587,"No EXIF metadata was found, which is common for generated or heavily processed images. | Sharpness score is high, indicating strong natural or compressed detail. | Edge density is high, showing many local transitions and details. | Color entropy is high, suggesting a broad natural-looking color distribution. | Noise and local variance are visible, which supports a real-camera or compressed-photo signal. | risk_score=40.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_004.jpg,real,0.2196,ai,0.0696,"No EXIF metadata was found, which is common for generated or heavily processed images. | JPEG quality estimate is low enough to show clear recompression history. | risk_score=56.0; day5_prediction=uncertain; day5_confidence=low"
data\test_images\real\phone_photo_005.jpg,real,0.2209,ai,0.0709,"Color entropy is high, suggesting a broad natural-looking color distribution. | risk_score=46.0; day5_prediction=uncertain; day5_confidence=low"
