threshold,total,accuracy,ai_precision,ai_recall,ai_f1,real_precision,real_recall,real_f1,macro_f1,true_positive,true_negative,false_positive,false_negative
0.05,60,0.5,0.5,1.0,0.6667,0.0,0.0,0.0,0.3333,30,0,30,0
0.06,60,0.5,0.5,1.0,0.6667,0.0,0.0,0.0,0.3333,30,0,30,0
0.07,60,0.5,0.5,1.0,0.6667,0.0,0.0,0.0,0.3333,30,0,30,0
0.08,60,0.5,0.5,1.0,0.6667,0.0,0.0,0.0,0.3333,30,0,30,0
0.09,60,0.5,0.5,1.0,0.6667,0.0,0.0,0.0,0.3333,30,0,30,0
0.1,60,0.5333,0.5172,1.0,0.6818,1.0,0.0667,0.1251,0.4034,30,2,28,0
0.11,60,0.5333,0.5172,1.0,0.6818,1.0,0.0667,0.1251,0.4034,30,2,28,0
0.12,60,0.55,0.5273,0.9667,0.6824,0.8,0.1333,0.2285,0.4555,29,4,26,1
0.13,60,0.55,0.5273,0.9667,0.6824,0.8,0.1333,0.2285,0.4555,29,4,26,1
0.14,60,0.5333,0.5208,0.8333,0.641,0.5833,0.2333,0.3333,0.4871,25,7,23,5
0.15,60,0.55,0.5385,0.7,0.6087,0.5714,0.4,0.4706,0.5396,21,12,18,9
0.16,60,0.5,0.5,0.6,0.5455,0.5,0.4,0.4444,0.495,18,12,18,12
0.17,60,0.4833,0.4839,0.5,0.4918,0.4828,0.4667,0.4746,0.4832,15,14,16,15
0.18,60,0.4833,0.48,0.4,0.4364,0.4857,0.5667,0.5231,0.4798,12,17,13,18
0.19,60,0.4167,0.381,0.2667,0.3138,0.4359,0.5667,0.4928,0.4033,8,17,13,22
0.2,60,0.35,0.1538,0.0667,0.093,0.4043,0.6333,0.4935,0.2933,2,19,11,28
0.21,60,0.3667,0.0,0.0,0.0,0.4231,0.7333,0.5366,0.2683,0,22,8,30
0.22,60,0.4,0.0,0.0,0.0,0.4444,0.8,0.5714,0.2857,0,24,6,30
0.23,60,0.4667,0.0,0.0,0.0,0.4828,0.9333,0.6364,0.3182,0,28,2,30
0.24,60,0.4667,0.0,0.0,0.0,0.4828,0.9333,0.6364,0.3182,0,28,2,30
0.25,60,0.4667,0.0,0.0,0.0,0.4828,0.9333,0.6364,0.3182,0,28,2,30
0.26,60,0.4667,0.0,0.0,0.0,0.4828,0.9333,0.6364,0.3182,0,28,2,30
0.27,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.28,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.29,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.3,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.31,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.32,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.33,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.34,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.35,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.36,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.37,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.38,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.39,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.4,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.41,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.42,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.43,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.44,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.45,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.46,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.47,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.48,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.49,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.5,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.51,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.52,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.53,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.54,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.55,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.56,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.57,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.58,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.59,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.6,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.61,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.62,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.63,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.64,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.65,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.66,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.67,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.68,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.69,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.7,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.71,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.72,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.73,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.74,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.75,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.76,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.77,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.78,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.79,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.8,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.81,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.82,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.83,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.84,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.85,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.86,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.87,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.88,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.89,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.9,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.91,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.92,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.93,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.94,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
0.95,60,0.5,0.0,0.0,0.0,0.5,1.0,0.6667,0.3333,0,30,0,30
